experiment,slice_selection_variant,unit,aggregation,n_samples,n_studies,accuracy,f1_macro,f1_weighted,auc_roc_macro
ct_top20_tissue_resnet50_weighted_ce,top20_tissue,slice,slice,3337,167,0.5388073119568475,0.4329606939879865,0.5582076713370087,0.7482163514432162
ct_top16_tissue_resnet50_weighted_ce,top16_tissue,slice,slice,2672,167,0.5374251497005988,0.42469492209925624,0.556931148300345,0.7206010330636029
ct_top20_tissue_gentle_ft_convnext_tiny_weighted_ce,top20_tissue,slice,slice,3337,167,0.5085406053341325,0.4132599435227294,0.5276687105911273,0.7390771446549013
ct_top20_tissue_convnext_tiny_weighted_ce,top20_tissue,slice,slice,3337,167,0.5223254420137848,0.3870137476902003,0.5434902298333585,0.7199576077751261
ct_top20_tissue_head_only_convnext_tiny_weighted_ce,top20_tissue,slice,slice,3337,167,0.578663470182799,0.3438069167004587,0.5515490699483931,0.6611535104997011
ct_top20_tissue_resnet50_weighted_ce,top20_tissue,study,mean_probability,167,167,0.6107784431137725,0.49903257261183476,0.6239706622056577,0.8058651346004586
ct_top20_tissue_resnet50_weighted_ce,top20_tissue,study,majority_vote,167,167,0.6047904191616766,0.48703184800437394,0.618093637765475,0.7912460856792745
ct_top16_tissue_resnet50_weighted_ce,top16_tissue,study,mean_probability,167,167,0.6047904191616766,0.4769571661552646,0.6184967733630011,0.7719148416867861
ct_top20_tissue_resnet50_weighted_ce,top20_tissue,study,confidence_weighted_mean,167,167,0.592814371257485,0.476171802054155,0.6099943530306333,0.8030639801935227
ct_top16_tissue_resnet50_weighted_ce,top16_tissue,study,confidence_weighted_mean,167,167,0.5988023952095808,0.4738809407495289,0.6133711668017165,0.7677364899037287
ct_top16_tissue_resnet50_weighted_ce,top16_tissue,study,majority_vote,167,167,0.5868263473053892,0.4657668332388851,0.5969294731848959,0.7692017088797691
ct_top20_tissue_gentle_ft_convnext_tiny_weighted_ce,top20_tissue,study,mean_probability,167,167,0.5748502994011976,0.43123411805633294,0.58929240067063,0.7798135574414691
ct_top20_tissue_gentle_ft_convnext_tiny_weighted_ce,top20_tissue,study,majority_vote,167,167,0.562874251497006,0.427727710979603,0.5752217997343384,0.7603542753273222
ct_top20_tissue_gentle_ft_convnext_tiny_weighted_ce,top20_tissue,study,confidence_weighted_mean,167,167,0.5688622754491018,0.42716944345976604,0.5852015359567996,0.7766797632522545
ct_top20_tissue_convnext_tiny_weighted_ce,top20_tissue,study,confidence_weighted_mean,167,167,0.5688622754491018,0.42296416174125157,0.5863513614482266,0.7502913311188112
ct_top20_tissue_convnext_tiny_weighted_ce,top20_tissue,study,mean_probability,167,167,0.5688622754491018,0.42234334101834237,0.585165043708848,0.7544047685146165
ct_top20_tissue_convnext_tiny_weighted_ce,top20_tissue,study,majority_vote,167,167,0.5389221556886228,0.39530665968377965,0.5584258165801832,0.6954597954226412
ct_top20_tissue_head_only_convnext_tiny_weighted_ce,top20_tissue,study,majority_vote,167,167,0.6227544910179641,0.3631681877444589,0.5775812130627924,0.6457623747705946
ct_top20_tissue_head_only_convnext_tiny_weighted_ce,top20_tissue,study,confidence_weighted_mean,167,167,0.5988023952095808,0.3483495670995671,0.5627219586800425,0.6929307589649472
ct_top20_tissue_head_only_convnext_tiny_weighted_ce,top20_tissue,study,mean_probability,167,167,0.5988023952095808,0.34509267556477863,0.55915079241131,0.6919882019769703
